accession,Organism Name,GenBank/RefSeq,Submitters,Organization,Submitter Country,Release date,Isolate,Virus Lineage,Length,Nuc Completeness,Proteins/Segments,Segment,Is Vaccine Strain,Geographic Region,Geographic Location,Host,Host Lineage,Lab Host,Tissue/Specimen/Source,Collection Date,Sample Name,Annotated,SRA Accessions,Bioprojects,Biosample,Protein count,Gene count,Mature Peptide Count,definition,strain,isolation_source,create_date,update_date,assembly_name,authors,title,journal,pubmed_id,reference_count,comment
PX659872.2,,GenBank,,,,2025-12-28,,[],1542,partial,"Orthonairovirus haemorrhagiae isolate 11-2 segment S nucleocapsid protein gene, partial cds",S,False,Africa,Cameroon,Bos taurus,"[{'tax_id': 131567, 'name': 'cellular organisms'}, {'tax_id': 2759, 'name': 'Eukaryota'}, {'tax_id': 33154, 'name': 'Opisthokonta'}, {'tax_id': 33208, 'name': 'Metazoa'}, {'tax_id': 6072, 'name': 'Eumetazoa'}, {'tax_id': 33213, 'name': 'Bilateria'}, {'tax_id': 33511, 'name': 'Deuterostomia'}, {'tax_id': 7711, 'name': 'Chordata'}, {'tax_id': 89593, 'name': 'Craniata'}, {'tax_id': 7742, 'name': 'Vertebrata'}, {'tax_id': 7776, 'name': 'Gnathostomata'}, {'tax_id': 117570, 'name': 'Teleostomi'}, {'tax_id': 117571, 'name': 'Euteleostomi'}, {'tax_id': 8287, 'name': 'Sarcopterygii'}, {'tax_id': 1338369, 'name': 'Dipnotetrapodomorpha'}, {'tax_id': 32523, 'name': 'Tetrapoda'}, {'tax_id': 32524, 'name': 'Amniota'}, {'tax_id': 40674, 'name': 'Mammalia'}, {'tax_id': 32525, 'name': 'Theria'}, {'tax_id': 9347, 'name': 'Eutheria'}, {'tax_id': 1437010, 'name': 'Boreoeutheria'}, {'tax_id': 314145, 'name': 'Laurasiatheria'}, {'tax_id': 91561, 'name': 'Artiodactyla'}, {'tax_id': 9845, 'name': 'Ruminantia'}, {'tax_id': 35500, 'name': 'Pecora'}, {'tax_id': 9895, 'name': 'Bovidae'}, {'tax_id': 27592, 'name': 'Bovinae'}, {'tax_id': 9903, 'name': 'Bos'}, {'tax_id': 9913, 'name': 'Bos taurus'}]",False,,,,True,[],[],,1,,,,,,,,,,,,,,
PQ361725.1,,GenBank,,,,2024-10-02,,[],1662,partial,"Orthonairovirus haemorrhagiae isolate 5542 nucleocapsid protein gene, complete cds",S,False,Africa,Guinea: N'Zerekore,Rhipicephalus geigyi,"[{'tax_id': 131567, 'name': 'cellular organisms'}, {'tax_id': 2759, 'name': 'Eukaryota'}, {'tax_id': 33154, 'name': 'Opisthokonta'}, {'tax_id': 33208, 'name': 'Metazoa'}, {'tax_id': 6072, 'name': 'Eumetazoa'}, {'tax_id': 33213, 'name': 'Bilateria'}, {'tax_id': 33317, 'name': 'Protostomia'}, {'tax_id': 1206794, 'name': 'Ecdysozoa'}, {'tax_id': 88770, 'name': 'Panarthropoda'}, {'tax_id': 6656, 'name': 'Arthropoda'}, {'tax_id': 6843, 'name': 'Chelicerata'}, {'tax_id': 6854, 'name': 'Arachnida'}, {'tax_id': 6933, 'name': 'Acari'}, {'tax_id': 6934, 'name': 'Parasitiformes'}, {'tax_id': 6935, 'name': 'Ixodida'}, {'tax_id': 297308, 'name': 'Ixodoidea'}, {'tax_id': 6939, 'name': 'Ixodidae'}, {'tax_id': 426437, 'name': 'Rhipicephalinae'}, {'tax_id': 34630, 'name': 'Rhipicephalus'}, {'tax_id': 6940, 'name': 'Boophilus'}, {'tax_id': 136141, 'name': 'Rhipicephalus geigyi'}]",False,,,,True,[],[],,1,,,,,,,,,,,,,,
PQ361724.1,,GenBank,,,,2024-10-02,,[],1653,partial,"Orthonairovirus haemorrhagiae isolate 5541 nucleocapsid protein gene, complete cds",S,False,Africa,Guinea: Gueckedou,Rhipicephalus annulatus,"[{'tax_id': 131567, 'name': 'cellular organisms'}, {'tax_id': 2759, 'name': 'Eukaryota'}, {'tax_id': 33154, 'name': 'Opisthokonta'}, {'tax_id': 33208, 'name': 'Metazoa'}, {'tax_id': 6072, 'name': 'Eumetazoa'}, {'tax_id': 33213, 'name': 'Bilateria'}, {'tax_id': 33317, 'name': 'Protostomia'}, {'tax_id': 1206794, 'name': 'Ecdysozoa'}, {'tax_id': 88770, 'name': 'Panarthropoda'}, {'tax_id': 6656, 'name': 'Arthropoda'}, {'tax_id': 6843, 'name': 'Chelicerata'}, {'tax_id': 6854, 'name': 'Arachnida'}, {'tax_id': 6933, 'name': 'Acari'}, {'tax_id': 6934, 'name': 'Parasitiformes'}, {'tax_id': 6935, 'name': 'Ixodida'}, {'tax_id': 297308, 'name': 'Ixodoidea'}, {'tax_id': 6939, 'name': 'Ixodidae'}, {'tax_id': 426437, 'name': 'Rhipicephalinae'}, {'tax_id': 34630, 'name': 'Rhipicephalus'}, {'tax_id': 6940, 'name': 'Boophilus'}, {'tax_id': 34611, 'name': 'Rhipicephalus annulatus'}]",False,,,,True,[],[],,1,,,,,,,,,,,,,,
PQ361723.1,,GenBank,,,,2024-10-02,,[],1653,partial,"Orthonairovirus haemorrhagiae isolate 5440 nucleocapsid protein gene, complete cds",S,False,Africa,Guinea: Kankan,Rhipicephalus sanguineus,"[{'tax_id': 131567, 'name': 'cellular organisms'}, {'tax_id': 2759, 'name': 'Eukaryota'}, {'tax_id': 33154, 'name': 'Opisthokonta'}, {'tax_id': 33208, 'name': 'Metazoa'}, {'tax_id': 6072, 'name': 'Eumetazoa'}, {'tax_id': 33213, 'name': 'Bilateria'}, {'tax_id': 33317, 'name': 'Protostomia'}, {'tax_id': 1206794, 'name': 'Ecdysozoa'}, {'tax_id': 88770, 'name': 'Panarthropoda'}, {'tax_id': 6656, 'name': 'Arthropoda'}, {'tax_id': 6843, 'name': 'Chelicerata'}, {'tax_id': 6854, 'name': 'Arachnida'}, {'tax_id': 6933, 'name': 'Acari'}, {'tax_id': 6934, 'name': 'Parasitiformes'}, {'tax_id': 6935, 'name': 'Ixodida'}, {'tax_id': 297308, 'name': 'Ixodoidea'}, {'tax_id': 6939, 'name': 'Ixodidae'}, {'tax_id': 426437, 'name': 'Rhipicephalinae'}, {'tax_id': 34630, 'name': 'Rhipicephalus'}, {'tax_id': 426455, 'name': 'Rhipicephalus'}, {'tax_id': 578835, 'name': 'Rhipicephalus sanguineus group'}, {'tax_id': 34632, 'name': 'Rhipicephalus sanguineus'}]",False,,,,True,[],[],,1,,,,,,,,,,,,,,
PQ361722.1,,GenBank,,,,2024-10-02,,[],1653,partial,"Orthonairovirus haemorrhagiae isolate 5439 nucleocapsid protein gene, complete cds",S,False,Africa,Guinea: Faranah,Rhipicephalus geigyi,"[{'tax_id': 131567, 'name': 'cellular organisms'}, {'tax_id': 2759, 'name': 'Eukaryota'}, {'tax_id': 33154, 'name': 'Opisthokonta'}, {'tax_id': 33208, 'name': 'Metazoa'}, {'tax_id': 6072, 'name': 'Eumetazoa'}, {'tax_id': 33213, 'name': 'Bilateria'}, {'tax_id': 33317, 'name': 'Protostomia'}, {'tax_id': 1206794, 'name': 'Ecdysozoa'}, {'tax_id': 88770, 'name': 'Panarthropoda'}, {'tax_id': 6656, 'name': 'Arthropoda'}, {'tax_id': 6843, 'name': 'Chelicerata'}, {'tax_id': 6854, 'name': 'Arachnida'}, {'tax_id': 6933, 'name': 'Acari'}, {'tax_id': 6934, 'name': 'Parasitiformes'}, {'tax_id': 6935, 'name': 'Ixodida'}, {'tax_id': 297308, 'name': 'Ixodoidea'}, {'tax_id': 6939, 'name': 'Ixodidae'}, {'tax_id': 426437, 'name': 'Rhipicephalinae'}, {'tax_id': 34630, 'name': 'Rhipicephalus'}, {'tax_id': 6940, 'name': 'Boophilus'}, {'tax_id': 136141, 'name': 'Rhipicephalus geigyi'}]",False,,,,True,[],[],,1,,,,,,,,,,,,,,
PQ361721.1,,GenBank,,,,2024-10-02,,[],1653,partial,"Orthonairovirus haemorrhagiae isolate 5438 nucleocapsid protein gene, complete cds",S,False,Africa,Guinea: N'Zerekore,Amblyomma variegatum,"[{'tax_id': 131567, 'name': 'cellular organisms'}, {'tax_id': 2759, 'name': 'Eukaryota'}, {'tax_id': 33154, 'name': 'Opisthokonta'}, {'tax_id': 33208, 'name': 'Metazoa'}, {'tax_id': 6072, 'name': 'Eumetazoa'}, {'tax_id': 33213, 'name': 'Bilateria'}, {'tax_id': 33317, 'name': 'Protostomia'}, {'tax_id': 1206794, 'name': 'Ecdysozoa'}, {'tax_id': 88770, 'name': 'Panarthropoda'}, {'tax_id': 6656, 'name': 'Arthropoda'}, {'tax_id': 6843, 'name': 'Chelicerata'}, {'tax_id': 6854, 'name': 'Arachnida'}, {'tax_id': 6933, 'name': 'Acari'}, {'tax_id': 6934, 'name': 'Parasitiformes'}, {'tax_id': 6935, 'name': 'Ixodida'}, {'tax_id': 297308, 'name': 'Ixodoidea'}, {'tax_id': 6939, 'name': 'Ixodidae'}, {'tax_id': 426441, 'name': 'Amblyomminae'}, {'tax_id': 6942, 'name': 'Amblyomma'}, {'tax_id': 34610, 'name': 'Amblyomma variegatum'}]",False,,,,True,[],[],,1,,,,,,,,,,,,,,
PQ361720.1,,GenBank,,,,2024-10-02,,[],1653,partial,"Orthonairovirus haemorrhagiae isolate 5437 nucleocapsid protein gene, complete cds",S,False,Africa,Guinea: Kindia,Amblyomma variegatum,"[{'tax_id': 131567, 'name': 'cellular organisms'}, {'tax_id': 2759, 'name': 'Eukaryota'}, {'tax_id': 33154, 'name': 'Opisthokonta'}, {'tax_id': 33208, 'name': 'Metazoa'}, {'tax_id': 6072, 'name': 'Eumetazoa'}, {'tax_id': 33213, 'name': 'Bilateria'}, {'tax_id': 33317, 'name': 'Protostomia'}, {'tax_id': 1206794, 'name': 'Ecdysozoa'}, {'tax_id': 88770, 'name': 'Panarthropoda'}, {'tax_id': 6656, 'name': 'Arthropoda'}, {'tax_id': 6843, 'name': 'Chelicerata'}, {'tax_id': 6854, 'name': 'Arachnida'}, {'tax_id': 6933, 'name': 'Acari'}, {'tax_id': 6934, 'name': 'Parasitiformes'}, {'tax_id': 6935, 'name': 'Ixodida'}, {'tax_id': 297308, 'name': 'Ixodoidea'}, {'tax_id': 6939, 'name': 'Ixodidae'}, {'tax_id': 426441, 'name': 'Amblyomminae'}, {'tax_id': 6942, 'name': 'Amblyomma'}, {'tax_id': 34610, 'name': 'Amblyomma variegatum'}]",False,,,,True,[],[],,1,,,,,,,,,,,,,,
PQ361718.1,,GenBank,,,,2024-10-02,,[],1653,partial,"Orthonairovirus haemorrhagiae isolate 3222 nucleocapsid protein gene, complete cds",S,False,Africa,Guinea: Kindia,Rhipicephalus annulatus,"[{'tax_id': 131567, 'name': 'cellular organisms'}, {'tax_id': 2759, 'name': 'Eukaryota'}, {'tax_id': 33154, 'name': 'Opisthokonta'}, {'tax_id': 33208, 'name': 'Metazoa'}, {'tax_id': 6072, 'name': 'Eumetazoa'}, {'tax_id': 33213, 'name': 'Bilateria'}, {'tax_id': 33317, 'name': 'Protostomia'}, {'tax_id': 1206794, 'name': 'Ecdysozoa'}, {'tax_id': 88770, 'name': 'Panarthropoda'}, {'tax_id': 6656, 'name': 'Arthropoda'}, {'tax_id': 6843, 'name': 'Chelicerata'}, {'tax_id': 6854, 'name': 'Arachnida'}, {'tax_id': 6933, 'name': 'Acari'}, {'tax_id': 6934, 'name': 'Parasitiformes'}, {'tax_id': 6935, 'name': 'Ixodida'}, {'tax_id': 297308, 'name': 'Ixodoidea'}, {'tax_id': 6939, 'name': 'Ixodidae'}, {'tax_id': 426437, 'name': 'Rhipicephalinae'}, {'tax_id': 34630, 'name': 'Rhipicephalus'}, {'tax_id': 6940, 'name': 'Boophilus'}, {'tax_id': 34611, 'name': 'Rhipicephalus annulatus'}]",False,,,,True,[],[],,1,,,,,,,,,,,,,,
PP894740.1,,GenBank,,,,2025-01-18,,[],1569,partial,"Orthonairovirus haemorrhagiae strain ARD401180 segment S nucleoprotein gene, complete cds",S,False,Africa,Senegal,Rhipicephalus senegalensis,"[{'tax_id': 131567, 'name': 'cellular organisms'}, {'tax_id': 2759, 'name': 'Eukaryota'}, {'tax_id': 33154, 'name': 'Opisthokonta'}, {'tax_id': 33208, 'name': 'Metazoa'}, {'tax_id': 6072, 'name': 'Eumetazoa'}, {'tax_id': 33213, 'name': 'Bilateria'}, {'tax_id': 33317, 'name': 'Protostomia'}, {'tax_id': 1206794, 'name': 'Ecdysozoa'}, {'tax_id': 88770, 'name': 'Panarthropoda'}, {'tax_id': 6656, 'name': 'Arthropoda'}, {'tax_id': 6843, 'name': 'Chelicerata'}, {'tax_id': 6854, 'name': 'Arachnida'}, {'tax_id': 6933, 'name': 'Acari'}, {'tax_id': 6934, 'name': 'Parasitiformes'}, {'tax_id': 6935, 'name': 'Ixodida'}, {'tax_id': 297308, 'name': 'Ixodoidea'}, {'tax_id': 6939, 'name': 'Ixodidae'}, {'tax_id': 426437, 'name': 'Rhipicephalinae'}, {'tax_id': 34630, 'name': 'Rhipicephalus'}, {'tax_id': 426455, 'name': 'Rhipicephalus'}, {'tax_id': 1104677, 'name': 'Rhipicephalus senegalensis'}]",False,,,,True,[],[],,1,,,,,,,,,,,,,,
PP894739.1,,GenBank,,,,2025-01-18,,[],1673,partial,"Orthonairovirus haemorrhagiae strain ARD401185 segment S nucleoprotein gene, complete cds",S,False,Africa,Senegal,Hyalomma marginatum,"[{'tax_id': 131567, 'name': 'cellular organisms'}, {'tax_id': 2759, 'name': 'Eukaryota'}, {'tax_id': 33154, 'name': 'Opisthokonta'}, {'tax_id': 33208, 'name': 'Metazoa'}, {'tax_id': 6072, 'name': 'Eumetazoa'}, {'tax_id': 33213, 'name': 'Bilateria'}, {'tax_id': 33317, 'name': 'Protostomia'}, {'tax_id': 1206794, 'name': 'Ecdysozoa'}, {'tax_id': 88770, 'name': 'Panarthropoda'}, {'tax_id': 6656, 'name': 'Arthropoda'}, {'tax_id': 6843, 'name': 'Chelicerata'}, {'tax_id': 6854, 'name': 'Arachnida'}, {'tax_id': 6933, 'name': 'Acari'}, {'tax_id': 6934, 'name': 'Parasitiformes'}, {'tax_id': 6935, 'name': 'Ixodida'}, {'tax_id': 297308, 'name': 'Ixodoidea'}, {'tax_id': 6939, 'name': 'Ixodidae'}, {'tax_id': 426438, 'name': 'Hyalomminae'}, {'tax_id': 34625, 'name': 'Hyalomma'}, {'tax_id': 34627, 'name': 'Hyalomma marginatum'}]",False,,,,True,[],[],,1,,,,,,,,,,,,,,
